"Organisation Name",Website,ASN,"Peering Policy","IPv4 Address","IPv6 Address",Location,"Switch Slot/[Pic/]Port","Port Type","Service Speed","Service Type","Membership Type","Route Servers"
"MTN GlobalConnect Solutions LTD",http://www.mtnbusiness.co.za,16637,Restrictive,195.66.224.18,2001:7f8:4::40fd:1,"Digital Realty Sovereign House (RBS)","edge2-rbs et-3/1/2",100G,100000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"MTN GlobalConnect Solutions LTD",http://www.mtnbusiness.co.za,16637,Restrictive,195.66.236.18,2001:7f8:4:1::40fd:1,"Digital Realty Sovereign House (RBS)","edge3-rbs-lon2 xe6",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"MTN GlobalConnect Solutions LTD",http://www.mtnbusiness.co.za,16637,Restrictive,195.66.236.18,2001:7f8:4:1::40fd:1,"Digital Realty Sovereign House (RBS)","edge3-rbs-lon2 xe3",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"MTN GlobalConnect Solutions LTD",http://www.mtnbusiness.co.za,16637,Restrictive,195.66.236.18,2001:7f8:4:1::40fd:1,"Digital Realty Sovereign House (RBS)","edge3-rbs-lon2 xe1",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"MTN GlobalConnect Solutions LTD",http://www.mtnbusiness.co.za,16637,Restrictive,195.66.236.18,2001:7f8:4:1::40fd:1,"Digital Realty Sovereign House (RBS)","edge3-rbs-lon2 xe2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"MTS PJSC",http://www.comstar-direct.ru,8359,Selective,195.66.224.218,2001:7f8:4::20a7:1,"Digital Realty Cloud House West (TCM)","edge1-tcm xe-4/0/0",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"MTS PJSC",http://www.comstar-direct.ru,8359,Selective,195.66.224.218,2001:7f8:4::20a7:1,"Digital Realty Cloud House West (TCM)","edge1-tcm xe-5/1/3",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"MTS PJSC",http://www.comstar-direct.ru,8359,Selective,195.66.224.218,2001:7f8:4::20a7:1,"Digital Realty Cloud House West (TCM)","edge1-tcm xe-4/3/1",10G,10000,Regular,full,"rs1.lon1, rs3.lon1"
"Mythic Beasts",http://www.mythic-beasts.com,44684,Open,195.66.236.72,2001:7f8:4:1::ae8c:1,"Equinix LD8 Harbour Exchange (TCH)","edge2-tch-lon2 xe14",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
"Mythic Beasts",http://www.mythic-beasts.com,44684,Open,195.66.224.72,2001:7f8:4::ae8c:1,"Digital Realty Sovereign House (RBS)","edge1-rbs xe-8/3/2",10G,10000,Regular,full,"rs1.lon1, rs2.lon2, rs3.lon1, rs4.lon2"
Naitways,http://www.naitways.com/,57119,Open,195.66.224.9,2001:7f8:4::df1f:1,"Telehouse North (THN)","core4-thn VLAN: 1856",ConneXions,100,ConneXions,full,"rs1.lon1, rs3.lon1"
Nask,https://www.nask.pl/,15606,Open,195.66.225.168,2001:7f8:4::3cf6:1,"Telehouse North (THN)","edge1-thn ge-7/0/7",1000,1000,Regular,full,"rs1.lon1, rs3.lon1"
"Nasstar South Limited",http://www.modrus.com,39179,Open,195.66.238.29,2001:7f8:4:1::990b:1,"Interxion LON2 (IN2)","edge1-in2-lon2 xe23",1000,1000,Regular,full,"rs2.lon2, rs4.lon2"
"Nasstar South Limited",http://www.modrus.com,39179,Open,195.66.238.29,2001:7f8:4:1::990b:1,"Interxion LON2 (IN2)","edge1-in2-lon2 xe25",1000,1000,Regular,full,"rs2.lon2, rs4.lon2"
"Nasstar South Limited",http://www.modrus.com,39179,Open,195.66.226.29,2001:7f8:4::990b:1,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/0/9",1000,1000,Regular,full,"rs2.lon2, rs4.lon2"
"Nasstar South Limited",http://www.modrus.com,39179,Open,195.66.226.29,2001:7f8:4::990b:1,"Equinix LD8 Harbour Exchange (TCH)","edge1-tch ge-4/3/4",1000,1000,Regular,full,"rs2.lon2, rs4.lon2"
